0.1,Maxwell to Prince,no run,0
0.2,Maxwell to Prince,1 run,1
0.3,Maxwell to Horton,FOUR,5
0.4,Maxwell to Horton,FOUR,9
0.5,Maxwell to Horton,1 run,10
0.6,Maxwell to Prince,SIX,16
1.1,Fisher to Horton,no run,16
1.2,Fisher to Horton,1 wide,17
1.2,Fisher to Horton,no run,17
1.3,Fisher to Horton,1 run,18
1.4,Fisher to Prince,FOUR,22
1.5,Fisher to Prince,1 run,23
1.6,Fisher to Horton,1 run,24
2.1,Patterson to Horton,1 run,25
2.2,Patterson to Prince,1 run,26
2.3,Patterson to Horton,FOUR,30
2.4,Patterson to Horton,1 run,31
2.5,Patterson to Prince,1 run,32
2.6,Patterson to Horton,no run,32
3.1,Bresnan to Prince,SIX,38
3.2,Bresnan to Prince,no run,38
3.3,Bresnan to Prince,no run,38
3.4,Bresnan to Prince,no run,38
3.5,Bresnan to Prince,no run,38
3.6,Bresnan to Prince,FOUR,42
4.1,Patterson to Horton,FOUR,46
4.2,Patterson to Horton,1 run,47
4.3,Patterson to Prince,FOUR,51
4.4,Patterson to Prince,2 runs,53
4.5,Patterson to Prince,4 byes,53
4.6,Patterson to Prince,2 runs,55
5.1,Pyrah to Horton,no run,55
5.2,Pyrah to Horton,1 run,56
5.3,Pyrah to Prince,SIX,62
5.4,Pyrah to Prince,2 runs,64
5.5,Pyrah to Prince,3 runs,67
5.6,Pyrah to Horton,FOUR,71
6.1,Maxwell to Prince,1 run,72
6.2,Maxwell to Horton,OUT,72
6.3,Maxwell to Brown,1 run,73
6.4,Maxwell to Prince,no run,73
6.5,Maxwell to Prince,1 run,74
6.6,Maxwell to Brown,2 runs,76
7.1,Middlebrook to Prince,1 run,77
7.2,Middlebrook to Brown,no run,77
7.3,Middlebrook to Brown,1 leg bye,77
7.4,Middlebrook to Prince,1 run,78
7.5,Middlebrook to Brown,1 run,79
7.6,Middlebrook to Prince,SIX,85
8.1,Maxwell to Brown,1 run,86
8.2,Maxwell to Prince,2 runs,88
8.3,Maxwell to Prince,1 run,89
8.4,Maxwell to Brown,no run,89
8.5,Maxwell to Brown,no run,89
8.6,Maxwell to Brown,1 run,90
9.1,Pyrah to Brown,no run,90
9.2,Pyrah to Brown,FOUR,94
9.3,Pyrah to Brown,1 run,95
9.4,Pyrah to Prince,3 runs,98
9.5,Pyrah to Brown,1 run,99
9.6,Pyrah to Prince,OUT,99
10.1,Bresnan to Davies,1 run,100
10.2,Bresnan to Brown,no run,100
10.3,Bresnan to Brown,SIX,106
10.4,Bresnan to Brown,FOUR,110
10.5,Bresnan to Brown,SIX,116
10.6,Bresnan to Brown,2 runs,118
11.1,Middlebrook to Davies,1 run,119
11.2,Middlebrook to Brown,no run,119
11.3,Middlebrook to Brown,1 run,120
11.4,Middlebrook to Davies,1 run,121
11.5,Middlebrook to Brown,no run,121
11.6,Middlebrook to Brown,1 run,122
12.1,Pyrah to Brown,SIX,128
12.2,Pyrah to Brown,SIX,134
12.3,Pyrah to Brown,SIX,140
12.4,Pyrah to Brown,FOUR,144
12.5,Pyrah to Brown,FOUR,148
12.6,Pyrah to Brown,1 run,149
13.1,Middlebrook to Brown,1 run,150
13.2,Middlebrook to Davies,1 run,151
13.3,Middlebrook to Brown,1 run,152
13.4,Middlebrook to Davies,no run,152
13.5,Middlebrook to Davies,2 runs,154
13.6,Middlebrook to Davies,2 runs,156
14.1,Finch to Brown,2 runs,158
14.2,Finch to Brown,no run,158
14.3,Finch to Brown,2 runs,160
14.4,Finch to Brown,FOUR,164
14.5,Finch to Brown,OUT,164
14.6,Finch to Croft,1 run,165
15.1,Middlebrook to Croft,1 run,166
15.2,Middlebrook to Davies,1 run,167
15.3,Middlebrook to Croft,1 run,168
15.4,Middlebrook to Davies,FOUR,172
15.5,Middlebrook to Davies,1 wide,173
15.5,Middlebrook to Davies,FOUR,177
15.6,Middlebrook to Davies,1 run,178
16.1,Fisher to Davies,FOUR,182
16.2,Fisher to Davies,no run,182
16.3,Fisher to Davies,OUT,182
16.4,Fisher to Livingstone,1 run,183
16.5,Fisher to Croft,no run,183
16.6,Fisher to Croft,2 runs,185
17.1,Patterson to Livingstone,1 run,186
17.2,Patterson to Croft,1 wide,187
17.2,Patterson to Croft,1 wide,188
17.2,Patterson to Croft,FOUR,192
17.3,Patterson to Croft,1 run,193
17.4,Patterson to Livingstone,2 runs,195
17.5,Patterson to Livingstone,FOUR,199
17.6,Patterson to Livingstone,2 runs,201
18.1,Fisher to Croft,1 run,202
18.2,Fisher to Livingstone,no run,202
18.3,Fisher to Livingstone,1 run,203
18.4,Fisher to Croft,no run,203
18.5,Fisher to Croft,2 leg byes,203
18.6,Fisher to Croft,(no ball) FOUR,207
18.6,Fisher to Croft,2 runs,209
19.1,Patterson to Livingstone,1 run,210
19.2,Patterson to Croft,1 bye,211
19.3,Patterson to Livingstone,1 run,212
19.4,Patterson to Croft,SIX,218
19.5,Patterson to Croft,2 runs,220
19.6,Patterson to Croft,2 runs,222
